m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Aage Rasmus Bjelland Figenschou	-0.075840466	-0.5646412	-0.01690611	-0.10620536	0.28046408	-1.6027087	-0.054384284	0.82074064	-0.6884899	0.12040718	-0.3731201	-0.3034802	-0.42714778	-0.6502452	-0.7107051	0.4735638	-0.17590006	0.5530642	-0.33209965	0.9296209	0.5152827	-0.38861895	1.9605039	0.20648794	0.57688844	0.25571603	-0.6460154	0.5940623	0.07548142	0.08985595	-0.58028597	0.11381111	1
Axel Camillo Eitzen	0.086386465	-0.35983	0.028604073	-0.15194876	0.44914955	-1.719216	-0.035726175	1.0882996	-1.0418205	0.18974076	-0.6921972	-0.28611493	-0.22012003	-0.80718505	-0.55299085	0.4703624	-0.038205676	0.57386464	-0.828182	0.97438383	0.6318553	-0.7858319	2.22233	0.35595205	0.6647524	0.61102605	-0.30543187	0.20079035	0.24833584	0.21880828	-0.7084445	0.15652768	1
Bjørn Johan Sjaastad	-0.10483695	-0.8581213	0.34226394	-0.21412982	-0.01651718	-1.498756	0.23265429	0.92505383	-0.4473179	0.19795585	-0.085022524	-0.26270485	-0.37585917	-0.3702449	-0.77548546	0.22904234	-0.055359114	0.7831298	-0.17072502	1.0095599	0.38832206	0.004293543	1.8115706	-0.08538795	0.85625494	0.1499151	-0.96764123	0.7404947	-0.08572802	0.023622608	-0.5015902	-0.33997607	1
Carl Erik Steen	-0.07564202	-1.1434373	0.06820921	-0.43026194	-0.3797927	-1.2788513	-0.24334082	0.6577552	-0.55479616	0.06569877	-0.08395623	-0.52040935	-0.14656669	-0.049072593	-0.59091973	0.10357148	0.15181385	0.7361956	-0.26834488	1.0579818	0.2116506	0.015230051	1.9757403	-0.021979531	1.0015476	-0.038830962	-0.62336123	0.46085304	-0.23623647	0.41233075	-0.59594667	-0.31272805	1
Heidi Marie Petersen	-0.42175055	-1.0133495	0.39362356	-0.25991592	0.5036958	-1.421875	-0.12393016	0.69353044	-0.017119838	-0.23891196	-0.35326448	-0.20372601	-0.7460901	-0.2593196	-0.45360216	0.33887804	0.1555334	0.7366022	0.08532271	0.7008326	-0.072550006	0.22687493	1.491537	-0.24958816	0.86762273	0.08576471	-1.3481761	0.385571	-0.08227462	-0.54054034	-0.36296907	-0.21721566	2
Helene Jebsen Anker	0.30325532	-0.72005606	0.5173872	0.3936287	0.1493676	-0.9157189	-0.18487039	0.85304606	-0.70907676	0.19902267	-0.48704576	-0.25736663	-0.25244445	-0.20565549	-1.1012437	0.5725094	-0.769785	0.3350988	0.17084141	1.2486928	0.65032285	0.2852031	1.433199	-0.32160467	0.89304477	0.225812	-1.1356503	0.97666115	-0.078876734	0.50629205	-0.49641398	-0.4733462	2
Ola Røthe	-0.03604048	-0.45476428	0.221549	0.044907812	0.91406226	-1.7488552	0.07895899	1.0083992	-0.8678898	0.3234716	-0.6213641	-0.19969688	-0.2565199	-0.75686544	-0.81595844	0.22803877	0.12306294	0.61027575	-0.9313385	1.0475235	0.8550263	-0.8524001	1.9850539	0.60293466	0.60380024	0.2297484	-0.16416222	-0.027387027	0.1650922	0.15396841	-0.81124437	0.29565707	1
Siv Jønland Staubo	-0.115843296	-0.24432057	-0.20466726	-0.082572356	0.30048928	-1.405688	0.203017	1.1416311	-1.1701015	0.5114269	-0.41121256	-0.17482604	-0.25409496	-0.9695499	-0.15313353	0.5423222	0.046147663	0.54734004	-1.1095413	0.8821826	0.57789224	-0.8086338	2.1266081	0.6427267	0.48023596	0.5053122	-0.613433	0.2761766	0.23450951	0.14353487	-0.6560041	0.33202976	2
Toril Eidesvik	0.18512964	-0.24040742	0.14277445	-0.13188758	0.66256887	-1.5487806	-0.49148795	1.0593953	-0.9295906	0.04951458	-0.79987365	-0.3556883	-0.1953255	-0.6053931	-0.6970376	0.5543291	0.023148693	0.78113645	-0.9851649	0.655284	0.37462005	-0.8057007	2.2416112	0.27935138	0.2314176	0.8718677	-0.2041669	-0.05674471	0.43152538	0.24046755	-0.5087468	0.2770592	2
Ada Merethe Stokstad Kjeseth	0.07207473	-1.0736524	-0.36599243	-0.1746271	-0.5407888	-0.4799883	-0.03317157	0.74655485	-0.5819943	-0.21407847	-1.405619	0.00037810014	-0.9249752	-0.69680387	-0.45220017	0.4876344	0.28342143	-1.0160918	-1.1219862	1.0358206	0.5100104	1.2361704	1.072658	-1.2891041	0.39593703	1.3133174	-0.55512935	-1.6514336	-0.24061088	0.15160605	-0.7314363	0.12361176	2
Anita Marie Hjerkinn Aarnæs	0.094574496	-1.0135511	-0.36629307	-0.31076673	-0.626039	-0.50175995	-0.023251886	0.7577509	-0.61621016	-0.22740202	-1.2981756	0.046384074	-0.9211438	-0.7164125	-0.41526935	0.5246427	0.33100107	-0.9593779	-1.1300106	1.290689	0.3501174	1.4096762	1.0815616	-1.3486576	0.40269303	1.4101644	-0.57436174	-1.591174	-0.1859169	0.109283604	-0.8126242	0.12719214	2
Bjørn Halvor Kise	-0.074702956	-1.2912072	-0.25733995	-0.14447422	-0.5593231	-0.4950072	0.09866736	0.5064338	-0.7209517	-0.11610542	-1.1494447	0.06275884	-1.0280741	-0.7591825	-0.26524448	0.6767785	0.7026024	-0.8438136	-1.1340723	1.1175457	0.2888524	1.5515217	0.71177375	-1.2021236	0.12118778	1.2672514	-0.5839053	-1.3438872	0.007710914	0.2412462	-0.92535925	-0.042763103	1
Daniel Andreas Skjeldam	0.0658238	-1.0852965	-0.3545272	-0.18062639	-0.51680976	-0.46946386	-0.06801572	0.6958962	-0.5439997	-0.2344579	-1.2448664	0.035522588	-0.93074983	-0.8268916	-0.43698403	0.4744989	0.31568187	-1.0443277	-1.101253	1.1476938	0.4288086	1.2639589	1.065436	-1.3788974	0.36115226	1.4474092	-0.5287975	-1.6026132	-0.1982606	0.22763288	-0.8838551	0.0653077	1
John Einar Høsteland	-0.026142593	-0.7014428	-0.12556556	-0.00300606	-0.7907006	0.14896946	0.23568535	0.46403736	-0.1441865	-0.061613843	-0.9336629	0.20035951	-0.8356669	-0.32216898	-0.13267596	0.19216561	0.68007714	-0.7765837	-1.1590456	1.1757836	0.7028648	1.416617	0.83759886	-0.83684343	1.1535143	1.2230747	-0.7630401	-1.5766627	-0.35938546	-0.1485302	-0.70706177	0.12188195	1
Kristin Farstad	0.07119395	-1.1165744	-0.34356642	-0.20257914	-0.5457074	-0.4132353	0.0024810303	0.6991255	-0.5724196	-0.22456	-1.3357729	0.0011296788	-0.86766243	-0.6926738	-0.42264578	0.4149226	0.31826413	-0.96947736	-1.1028962	1.085141	0.41173974	1.2959105	1.0204473	-1.2873173	0.4868049	1.3892797	-0.5160283	-1.6480222	-0.058729492	0.06601209	-0.67713624	0.08704226	2
Adine Charlotte Grate Axen	-0.20216046	-1.2525482	0.22424668	-0.5373242	0.32141352	-1.0081304	-0.6027646	-0.054701608	-0.92625135	-0.2447429	-0.8301426	0.387895	0.29194903	1.0832628	0.3376341	-0.12603307	1.0869794	1.0966338	-0.8495184	0.6804368	0.011586206	-0.3235552	2.1431549	-1.2716782	0.44446647	0.7148714	-0.12149826	-0.5725234	0.07255988	-0.20284049	-1.5867264	-1.0072477	2
Anders Brandt	-0.34220564	-1.2845513	0.14057241	-0.52799845	0.27158406	-1.0224862	-0.73723716	-0.12496614	-0.91165817	-0.22545815	-0.6973486	0.3171786	0.10582666	1.1086435	0.39027873	-0.04823364	0.9713229	1.1633097	-0.8840476	0.6930623	-0.09420867	-0.34222597	2.1893668	-1.311081	0.38594115	0.70237577	-0.02493648	-0.5376623	0.025923777	-0.1220854	-1.3747519	-1.1020615	1
Anne-Lise Aukner	-0.23780909	-0.82185537	0.114402	-0.29037917	0.33649102	-1.1883268	-0.90897	0.10445411	-0.26085454	-0.12885785	-1.0456717	0.43731454	0.24256346	0.86125284	0.39633426	0.13045774	0.72216815	1.1663165	-0.55253774	0.48921317	-0.21688071	-0.09153856	2.0434132	-1.1568308	0.36352086	0.7714441	-0.32532942	-0.35901442	0.14603722	-0.2793318	-0.9835207	-0.7526676	2
Arve Johansen	-0.073499784	-0.8836661	-0.0146005815	-0.69869506	-0.03777883	-1.1258744	-0.84674364	0.064280026	-0.87744904	-0.13099551	-0.43018433	-0.068490185	0.42739853	1.1804638	0.18624267	-0.24344645	0.9042242	0.8721033	-0.98251706	0.52184516	-0.13167915	-0.10123349	2.1215937	-0.8763976	0.9309524	0.5905983	0.015551381	-0.2529016	-0.05658548	0.26471946	-1.2284098	-1.1342402	1
Dag Mejdell	-0.3625901	-1.2304972	0.08638748	-0.46563062	0.3116686	-1.0045528	-0.5668944	-0.031362116	-0.92171395	-0.1810971	-0.82026374	0.2948034	0.31051236	1.243442	0.27381277	-0.19339944	0.96665794	1.103079	-0.8450816	0.61354804	0.15043923	-0.35279328	2.1922734	-1.0758042	0.42758393	0.7216748	-0.14895432	-0.6512106	0.059800737	-0.15019983	-1.4352669	-1.1215495	1
Hilde Lovise Ringereide	-0.21445929	-1.148238	0.18577804	-0.4824513	0.33884165	-1.0817589	-0.66334707	-0.1036165	-0.873328	-0.18401973	-0.77778876	0.4747751	0.1723641	1.2089561	0.41414323	0.029950032	0.9737063	1.1722205	-0.84650135	0.8094867	-0.009238597	-0.35699606	2.1129968	-1.180965	0.38154134	0.5950765	-0.13214122	-0.49152872	0.014321794	-0.08348513	-1.4479817	-1.0989575	2
Ådne Kverneland	-0.79294395	-0.42018828	0.19976036	0.78843695	0.6595302	-0.33397266	-0.8336494	0.73161876	-0.8868157	0.0012118667	0.37194446	-0.040884476	-0.6497471	0.56657773	0.63656825	-0.1990317	-0.78738254	-0.83692104	-1.1063727	1.8222412	-1.392448	0.6073203	1.9780211	1.3972236	0.6237148	0.50775576	-1.4924754	0.72234654	-0.07363461	1.5794768	-0.24180818	0.5029503	1
Jan Einar Greve	-0.7122038	-0.54041773	0.15529466	0.86476016	0.603099	-0.24605623	-0.7790489	0.7228589	-0.9520822	0.04450933	0.34011802	0.010642592	-0.6899853	0.60112023	0.54559606	-0.110084854	-0.73602575	-0.9216306	-1.1714697	1.8186492	-1.3679466	0.65614855	2.0241494	1.395097	0.6433344	0.5381533	-1.4222591	0.6835408	-0.014031115	1.6083169	-0.27623132	0.62372434	1
Lars Gustaf Ander	-0.7735951	-0.49792895	0.15059781	0.8556214	0.66814363	-0.3168997	-0.7763614	0.7038505	-0.9747785	0.063878775	0.36659515	-0.0036785314	-0.65154487	0.5734384	0.57328004	-0.2540951	-0.8089871	-0.84149414	-1.142919	1.8370769	-1.4533753	0.60070366	2.0061522	1.4302064	0.58817977	0.5523189	-1.5090891	0.6912402	-0.049259555	1.5581577	-0.2721982	0.6005977	1
Lena Kristina Samuelsson	-0.7428994	-0.46618482	0.17394227	0.8457824	0.6097773	-0.26590168	-0.7788	0.7135832	-0.85368824	0.019900853	0.3202401	0.016322203	-0.6817662	0.5654969	0.57728446	-0.16857184	-0.72218645	-0.86800057	-1.1584117	1.8594596	-1.3776932	0.68881744	1.9911441	1.4132674	0.64847136	0.5482433	-1.4760656	0.7271562	-0.012751967	1.5702071	-0.22984356	0.545753	2
Rolv Erik Ryssdal	-0.75705665	-0.49288812	0.22967505	0.7888066	0.6427671	-0.2992575	-0.8241594	0.7466586	-0.8779702	0.031563036	0.36964902	0.00535679	-0.69080603	0.6037894	0.5574002	-0.22945917	-0.8119101	-0.83268166	-1.1788472	1.8521962	-1.3774375	0.64585835	1.95761	1.4551909	0.6255859	0.51259047	-1.445394	0.7253595	-0.014333283	1.5737212	-0.23270251	0.5365535	1
Ruth Elisabeth Ropstad	-0.74117935	-0.44160604	0.13000128	0.79568493	0.60134226	-0.3035904	-0.7682871	0.748257	-0.9241241	0.010407621	0.38927588	-0.03481669	-0.65557903	0.5856428	0.5935202	-0.23193571	-0.7699946	-0.9027257	-1.200562	1.8779447	-1.4167339	0.62670714	1.9888374	1.4028742	0.6623055	0.4677795	-1.5154289	0.7306193	-0.0025064894	1.6673982	-0.2785983	0.53591126	2
Åge Jan Danielsen	-0.248015	0.2854314	0.92852795	-1.8786706	1.136049	-0.3752839	-0.3774162	-1.5818013	-0.61055213	0.5274566	-0.7317507	-0.20931773	0.16402856	0.6069827	-0.021776726	0.44301674	-0.6884006	0.36925462	-0.36519372	1.1790061	-0.48956788	1.6186138	1.8325646	-0.52667046	-0.34304604	1.1954535	-0.9476838	0.6850762	0.47716343	0.8199339	-0.31846714	-0.0380945	1
Grethe Høiland	-0.5326842	0.2675054	0.6491986	-1.5998487	1.274333	-0.61978173	-0.4318264	-1.3878906	-0.46324334	0.48871538	-0.55143905	-0.21752574	0.1967328	0.60362065	0.27251327	0.0963168	-0.29112306	0.49459448	-0.13126934	0.9732847	-0.12851143	1.2816919	1.5691578	-0.20220323	-0.23047282	0.9790732	-0.48506096	0.6135689	0.5975928	0.26876974	-0.12965769	-0.21187714	2
Ingebrigt Steen Jensen	-0.3357338	0.26625788	0.96051055	-1.8583814	1.2447634	-0.23130217	-0.17220236	-1.6147865	-0.6152313	0.62624604	-0.7168454	-0.34012273	0.12137115	0.59563625	0.013412862	0.40071017	-0.630737	0.2014681	-0.22733897	1.2762687	-0.5767521	1.5968261	1.7183508	-0.47131684	-0.3872327	1.2240617	-0.7317548	0.69356114	0.59035593	0.66395134	-0.37978956	0.028582374	1
Randi Helene Røed	-0.32680804	0.21573116	0.9136076	-1.8562945	1.3054464	-0.31800902	-0.2904893	-1.6295955	-0.66085315	0.555306	-0.6128566	-0.18015999	0.16405994	0.6138749	-0.08380679	0.49825767	-0.5498053	0.40511137	-0.37078878	1.2384775	-0.5291436	1.5899742	1.8176137	-0.49770024	-0.4702875	1.1898115	-0.8425273	0.70904106	0.6067716	0.83032405	-0.3680228	-0.025562169	2
Åge Thoresen	-1.017954	-0.14679936	0.6375617	0.27331644	2.3633847	0.123146534	0.39668015	0.7970246	-0.973798	0.95741653	-0.48316586	-0.89346784	0.23507412	0.27040827	0.6090045	-0.76380485	0.96518856	-1.176377	-0.048207533	0.73115873	0.39547634	0.3265767	1.5445935	-0.7470583	0.08966849	0.24974757	-0.18876857	-0.13900128	-0.36108258	-0.4556382	-1.5484728	-0.27402124	1
Alvhild Hedstein	-0.96641374	-0.1506701	0.5917395	0.27615172	2.4063787	0.11192662	0.25094312	0.7306934	-0.87301916	0.9553427	-0.48634055	-0.82410306	0.23763356	0.31099164	0.6870226	-0.8060896	0.9087969	-1.2354575	0.0034813322	0.7308832	0.5480708	0.39810708	1.4212776	-0.80003774	0.27806816	0.3210388	-0.15939888	-0.19409883	-0.22557625	-0.51575047	-1.5165561	-0.26290098	2
Bente Lie Nilsen	-0.90752304	-0.12123366	0.57942224	0.31178123	2.4132552	0.13880715	0.3135127	0.84833324	-0.9348769	1.0470783	-0.57454705	-0.8476352	0.19324574	0.27405742	0.71824026	-0.7685292	1.0140836	-1.0768191	0.051183663	0.72508204	0.4012121	0.34978372	1.4909192	-0.7473332	0.11334378	0.25504297	-0.21436583	-0.18192257	-0.3140507	-0.54693824	-1.42167	-0.23424847	2
Cato Andreas Holmsen	-0.8315928	0.05337158	0.41215596	-0.03971491	1.9640008	0.1462107	0.2726529	0.5592964	-0.9642159	0.850837	-0.43971026	-0.8888766	0.3043166	0.5038769	0.86233133	-0.85615295	1.0575751	-1.0447054	0.17814827	0.91692305	0.39275762	0.36661732	0.88470656	-0.444237	0.33915725	0.43812048	-0.33181754	-0.376039	0.044066366	-0.7376248	-1.3645241	-0.012265464	1
Hilde Vatne	-0.7957713	0.07599481	0.6527659	0.3544572	2.1196072	0.15686737	0.24422224	1.1545091	-1.016705	0.71718305	-0.88393974	-1.1050684	-0.0038967931	0.50183696	0.48037446	-0.86375594	0.8569833	-0.7111141	0.26423755	0.63300073	0.13830478	0.26076835	1.3640935	-0.8361691	0.043237884	0.29765755	-0.112941995	-0.27993953	-0.3003048	-0.40733767	-1.3453656	-0.26090375	2
Jan Magne Borgen	-0.89281136	-0.1655072	0.509154	0.30827987	2.3051643	0.16442958	0.31435463	0.7764609	-0.8987521	0.97882354	-0.53829753	-0.8964341	0.2078682	0.27814117	0.6203278	-0.8166772	1.0249046	-1.171023	0.050962407	0.7181249	0.51658314	0.31707042	1.3949856	-0.7013942	0.27899495	0.29310465	-0.26397663	-0.26140252	-0.305023	-0.5055747	-1.5032548	-0.23923217	1
Jon Reidar Gundersen	-0.88428235	-0.15965672	0.54944736	0.35433093	2.3375714	0.14950962	0.38496858	0.8276897	-0.94553876	0.8822985	-0.52663225	-0.8644536	0.17105445	0.42862746	0.61375445	-0.77349025	0.9331672	-1.1877555	-0.0013056648	0.6546389	0.40168703	0.39028332	1.435581	-0.74931306	0.17788306	0.254899	-0.25139016	-0.18641333	-0.33572543	-0.45591187	-1.460007	-0.27136242	1
Knut Hartvig Johannson	-0.94089663	-0.18087983	0.5852824	0.27524957	2.3418748	0.15580606	0.3568379	0.7873965	-0.8453016	0.90519553	-0.5478202	-0.8423707	0.21391831	0.33894774	0.6638893	-0.7235505	1.005653	-1.129762	0.033681206	0.7657105	0.5796091	0.47478598	1.414163	-0.70251167	0.14647345	0.2725699	-0.19439062	-0.17293695	-0.35192007	-0.47443053	-1.5904863	-0.27585247	1
Sverre Leiro	-0.9398572	-0.08679585	0.5713039	0.27867994	2.3238728	0.14524849	0.29214194	0.824431	-0.85990334	0.96601105	-0.49442467	-0.85543156	0.23756133	0.25175685	0.57186794	-0.7440249	1.0579449	-1.1872666	-0.020096984	0.7383165	0.47478452	0.25367367	1.4736882	-0.66398257	0.25471535	0.20097047	-0.21865158	-0.15491876	-0.2483383	-0.4860184	-1.4922199	-0.29971457	1
Sverre Lorentzen	-0.910872	-0.118319854	0.5676229	0.3176062	2.352058	0.16896054	0.41767293	0.85417765	-0.9384501	1.0004352	-0.59023637	-0.8051914	0.17547238	0.36940953	0.6725178	-0.71686816	0.9398387	-1.1793026	0.012576556	0.6669515	0.4501056	0.43349788	1.4964491	-0.7616495	0.11059366	0.30813253	-0.2367242	-0.14999981	-0.42451003	-0.46221456	-1.4985173	-0.21800593	1
Agnar Gravdal	-0.2806447	-0.26175246	-0.31578293	-0.11071675	0.44703022	-0.8827758	0.30484712	0.9612015	-1.5494475	0.68405366	-0.62502754	-0.5391994	-0.34788907	-1.2892426	0.17016128	0.49585328	-0.21773338	0.624941	-1.5370026	0.7188805	0.53710246	-0.75076574	1.925879	0.96895385	0.34108087	0.5380779	-1.3776543	0.063411236	0.279219	0.25727534	-1.013721	0.35789922	1
Anette Sofie Olsen	-0.16168757	-0.30064183	-0.4022194	-0.12027381	0.06501821	-0.8631743	0.4558682	0.9082605	-1.7079183	0.722336	-0.600795	-0.39354083	-0.35727942	-1.3383145	0.5033316	0.4222395	-0.2067376	0.3860854	-1.735568	1.163719	0.59995687	-0.7129026	1.7351817	0.9871641	0.37728357	0.81444734	-0.7041901	-0.10728564	0.2917215	0.2559312	-0.6777311	0.19465497	2
Cecilie Blydt Heuch	-0.37758625	-0.32942092	-0.46380416	-0.23561265	0.2047621	-0.60000664	0.31043473	0.84526926	-1.7803853	0.80392754	-0.7837378	-0.55807424	-0.5072978	-1.4805051	0.2830438	0.4403968	-0.21036859	0.41176692	-1.633493	0.7922055	0.50016403	-0.72609997	1.954438	1.1121069	0.13793935	0.44038677	-1.5226213	-0.025798801	0.28904703	0.43447623	-0.94169384	0.29565072	2
Jan Peter Valheim	-0.26830795	-0.2022335	-0.30075127	-0.12723039	0.3125843	-0.8827402	0.221418	0.82010865	-1.5769205	0.5541821	-0.8176247	-0.64178157	-0.3071161	-1.1833637	0.08632937	0.45244616	-0.18298972	0.5062901	-1.5505924	0.7095111	0.6337901	-0.8009282	1.9910505	1.0037214	0.3465407	0.5153721	-1.326388	0.14398186	0.20816341	0.29637545	-1.1413954	0.41010314	1
Øivin Fjeldstad	-0.3156917	-0.3086569	-0.3797251	-0.20099609	0.33195525	-0.5883184	0.2947025	0.8293905	-1.734728	0.77810067	-0.7556839	-0.56534326	-0.41547954	-1.4102024	0.21349023	0.51218694	-0.31223065	0.4320869	-1.616551	0.69301105	0.40977326	-0.7106736	1.9827383	1.1641762	0.20646843	0.49553323	-1.5676068	-0.050555177	0.20411809	0.40140715	-0.9620979	0.38324288	1
Per Oscar Lund	-0.21576974	-0.407009	-0.28437954	-0.23463944	0.25415403	-0.9916214	0.2665758	0.96453506	-1.5755578	0.51645076	-0.6559252	-0.48158038	-0.42142695	-1.2884564	0.1117816	0.40375906	-0.087106034	0.41491294	-1.3420615	0.84278995	0.59534436	-0.85052073	2.0282545	0.9940695	0.3568409	0.54602253	-1.022681	0.084804825	0.26118562	0.03216876	-0.9307941	0.29826546	1
Stephen Knudtzon	-0.29327512	-0.27725163	-0.44995847	-0.2301178	0.29867288	-0.57818353	0.3471082	0.8882612	-1.8039216	0.7905232	-0.80456835	-0.5427308	-0.44968843	-1.5149847	0.24749105	0.4368076	-0.23769404	0.36237308	-1.597309	0.77595305	0.42812568	-0.69841015	2.0114968	1.1204278	0.1434512	0.50398266	-1.5526544	-0.049227137	0.24598332	0.40812665	-0.93051517	0.2850166	1
Agnes Beathe Lindeman Steen Fosse	-1.4407439	-0.30058494	0.42101216	-0.5299161	0.33183098	0.25185207	0.00072878913	-0.11380649	-0.60744375	0.8058003	-0.7770395	-1.3464812	0.32944828	-0.9485172	-0.14055324	-0.50421536	0.5982805	0.8526882	-0.23025528	1.216029	-0.59485525	0.3970848	1.049333	-0.44866088	0.3396054	0.9722747	-0.9486301	-1.2431022	-0.5419547	0.43838358	0.26628354	-1.5249474	2
Bengt Olof Thuresson	-1.4162374	-0.2629253	0.37562266	-0.47094	0.46741527	0.5144269	0.0074121403	-0.142682	-0.6402697	0.980472	-0.63018376	-1.3725044	0.31137633	-0.93415475	-0.21247227	-0.42291078	0.65367526	0.74853194	-0.2942047	1.1207091	-0.67511356	0.38925186	1.1895529	-0.48198038	0.4656397	1.038193	-1.0162588	-1.3438364	-0.4151868	0.5981324	0.48057	-1.3959554	1
Ingvild Huseby	-1.4470304	-0.23470505	0.22962764	-0.443837	0.41023773	0.40924037	0.040535495	-0.14738694	-0.5712405	0.8703007	-0.6378234	-1.3482674	0.3439523	-0.87917644	-0.2299332	-0.38834143	0.6136155	0.7160177	-0.28053153	1.2184534	-0.5005596	0.17555939	1.1047207	-0.28301778	0.47041133	1.0185443	-1.0971397	-1.3071826	-0.43139288	0.57427514	0.45243436	-1.3753812	2
Nils Kloumann Selte	-1.6182289	-0.66317844	0.37294942	-0.6777507	0.31494227	0.523284	-0.15141341	-0.17196864	-0.46293548	0.6085644	-0.6749836	-1.2487019	0.5219856	-0.9242789	-0.23712161	-0.6728433	0.5027603	0.5725142	-0.31488022	1.3144416	-0.44615453	0.15534729	1.1048682	-0.24166806	0.106297426	0.9467095	-0.6931348	-0.99393183	-0.7888424	0.54090416	0.38659504	-1.0196741	1
Pål Hvammen	-1.551739	-0.010219954	-0.10250493	-0.2095738	0.4784668	0.5607296	0.28197187	-0.06265687	-0.5486705	0.9657497	-0.7895625	-1.2592292	0.39043188	-0.8484347	-0.16172014	-0.37450677	0.6539814	0.79126275	-0.40805122	1.1456757	-0.327681	0.2831733	1.162467	-0.21852726	0.45717174	0.8752015	-1.2327759	-0.91547316	-0.53219265	0.6047396	0.21446535	-1.4311641	1
Peter Arne Ruzicka	-0.97198915	0.12446724	0.5067691	-0.790157	0.45410717	0.3760626	-0.10223856	-0.059455935	-0.13969792	0.68614715	-0.31621692	-1.1406344	0.27603006	-0.9077478	-0.27573016	-0.368729	0.5656986	0.72084856	-0.52246374	1.415759	-0.57965934	0.098384134	0.7453053	-0.5623412	0.49200827	0.40888858	-1.2671617	-1.235167	-0.16037905	0.27313796	0.38019314	-1.1649462	1
Alexander Sunde	-0.683173	-0.7525903	-0.029220643	0.830476	0.20869036	0.0348331	0.10171233	1.2914411	-1.8088236	-0.13719596	-0.5192698	0.5968738	0.52663565	-0.22635312	-0.41140142	-0.35953218	-0.19268033	-0.07801344	-1.2988577	2.0222147	-0.17581917	0.97297186	1.7912675	-1.0752141	-0.06767902	0.40521702	-0.16644646	-0.26339978	0.5207272	-0.8317844	0.88839465	0.68004024	1
Bjørn Petter Paulsen	-0.7613643	-0.7701281	0.034820184	0.87549156	0.1340532	0.022932418	0.099787034	1.2196286	-1.8653206	-0.061814852	-0.6131966	0.59549606	0.51505995	-0.26251328	-0.49308136	-0.27547944	-0.21669751	-0.14884368	-1.2545272	1.902955	-0.2919749	1.0303377	1.8142835	-0.94269216	-0.07550827	0.55005205	-0.06426022	-0.39833808	0.5278608	-0.851172	1.0047059	0.74547875	1
Morten Garmann	-0.5882093	-0.5776892	0.22171567	1.1039336	0.16693382	-0.16466402	-0.069627516	1.2110915	-1.744245	0.15240107	-0.16855046	0.32331234	0.528471	-0.24749	-0.78244877	-0.35431114	-0.2036476	-0.10971985	-1.0641991	1.6865752	0.20160365	1.0485649	1.7497727	-1.0766013	-0.11261886	0.46209228	-0.2274614	-0.2070777	0.54465306	-0.75530225	0.7930069	0.6282637	1
Olav Nils Sunde	-0.7800414	-0.7890886	0.025684789	0.90913874	0.20711422	0.09936649	0.09768478	1.2364687	-1.8373542	-0.13371474	-0.5656196	0.6591407	0.4634747	-0.29940817	-0.3892299	-0.31514233	-0.21646836	-0.084759384	-1.3388445	1.9616193	-0.23558785	1.0167593	1.744376	-1.0438724	-0.09308135	0.47986147	-0.16638963	-0.31489515	0.5210705	-0.8438114	0.9784693	0.71483696	1
Alexander Vicefield	-0.54942286	-0.9691894	0.6767258	-0.01311432	0.2086925	-1.5480005	-0.15149999	0.63651454	-0.11819475	0.03102964	-0.52185583	-0.5459049	-1.2622176	-0.025035514	0.0636871	0.5158569	0.91307086	0.21991889	-0.36550504	1.1169447	0.32954162	0.03631353	1.669163	-0.44056544	0.7165473	-0.06023207	-1.5364878	0.64532644	0.32379076	-0.6082181	-0.0024352313	-0.47098535	1
Anil Gajanan Deshpande	-0.46242547	-0.9320307	0.65678567	0.2303956	0.5507013	-1.687219	-0.29650307	0.67169696	-0.1251993	0.08087316	-0.6522629	-0.44597846	-1.4069868	0.007265319	0.039826732	0.35366705	0.87974036	0.14620405	-0.34991273	0.9422156	0.3279385	0.027253216	1.75977	-0.2989077	0.80506945	0.008540837	-1.3826879	0.65066636	0.23162892	-0.7284154	-0.17266741	-0.48205084	1
Geir Tore Hjelle	-0.5148064	-0.8811132	0.7069615	0.13732813	0.4351556	-1.6524808	-0.104077	0.51126206	-0.3821859	0.017477712	-0.35653687	-0.21256848	-1.3737448	0.053834792	-0.000148381	0.38066095	0.94266504	0.24703483	-0.31694505	0.82810867	0.2529007	0.051369928	1.5604202	-0.3883262	0.9033699	0.00764537	-1.5289127	0.64987135	0.31450644	-0.6044956	-0.13531554	-0.36620876	1
Marianne Lie	-0.73109585	-0.847166	0.63976777	-0.007428745	0.6877233	-1.5095699	0.166505	-0.10485263	0.14457563	-0.14316304	-0.46836078	-0.12219445	-1.0355692	0.516373	-0.104616016	0.5710896	0.53799593	-0.096878745	-0.34121892	0.83510655	0.005382555	-0.59834296	1.4620181	-0.68456817	0.6026703	0.5874167	-1.9192746	0.27277863	0.40015474	-0.7495199	-0.23825698	-0.5271538	2
